date,username,campaign,action
01/30/18,__clao___,General,liked
01/30/18,divulgababiesekids,General,liked
01/30/18,rosalienobody,General,liked
01/30/18,scarlett.merritt,General,liked
01/30/18,lequin.jewelry,General,followed
01/30/18,hochzeit.event.messe.de,General,followed
01/30/18,hochzeit.event.messe.de,General,liked
01/30/18,hochzeit.event.messe.de,General,commented
01/30/18,hochzeit.event.messe.de,General,liked
01/30/18,mayumisalil,General,liked
